  -5.5188117e+01   1.0620958e+01   7.0718544e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -4.3097129e+01   1.0627380e+01   7.0808431e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -4.9137061e+01   2.1123099e+01   7.0748506e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -6.1228049e+01   2.1116677e+01   7.0658619e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -6.7279105e+01   1.0614536e+01   7.0628657e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -6.1239172e+01   1.1881746e-01   7.0688581e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -4.9148184e+01   1.2523909e-01   7.0778469e+02  -7.4137717e-02   1.4267810e-02   9.9714594e-01  -1.3806707e+00   7.5570063e-02
  -6.1299894e+01  -2.1234906e+01   7.0647777e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -4.9216726e+01  -2.1249174e+01   7.0747619e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -5.5270666e+01  -1.0746320e+01   7.0727651e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -6.7353834e+01  -1.0732053e+01   7.0627809e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -7.3383062e+01  -2.1220639e+01   7.0547936e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -6.7329122e+01  -3.1723492e+01   7.0567904e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -5.5245954e+01  -3.1737760e+01   7.0667746e+02  -8.2348057e-02  -2.8526204e-02   9.9619529e-01   4.3789158e+00   8.7259686e-02
  -3.6792078e+01  -4.2483832e+01   7.0718544e+02  -4.9425145e-02  -5.7071241e-02   9.9714594e-01   3.8553170e+00   7.5570063e-02
  -2.4682552e+01  -4.2500956e+01   7.0778469e+02  -4.9425145e-02  -5.7071241e-02   9.9714594e-01   3.8553170e+00   7.5570063e-02
  -3.0752145e+01  -3.2009519e+01   7.0808431e+02  -4.9425145e-02  -5.7071241e-02   9.9714594e-01   3.8553170e+00   7.5570063e-02
